id,lex,ph,pos,eng,syl,
1,kokk,kʰoʰk,n,cook,cvcc,
2,gogg,kokk,n,beak,cvcc,
3,dökk,tœʰk,agg,dark,cvcc,
4,dögg,tœkk,n,dew,cvcc,
5,kopp,kʰoʰp,n,chamber pot,cvcc,
6,kubb,kʰupp,n,block of wood,cvcc,
7,takka,tʰaʰka,n,key,cvccv,
8,kagga,kʰakka,n,barrel,cvccv,
9,detta,teʰta,v,fall,cvccv,
10,gedda,ketta,n,pike,cvccv,
11,kamp,kʰam̥p,n,moustache,cvnc,
12,kamb,kʰamp,n,comb,cvnc,
13,punt,pʰun̥t,n,decoration,cvnc,
14,pund,pʰunt,n,pound,cvnc,
15,kampa,kʰam̥pa,n,moustache,cvncv,
16,kamba,kʰampa,n,comb,cvncv,
17,kempa,kʰem̥pa,n,hero,cvncv,
18,kemba,kʰempa,v,comb,cvncv,
19,punta,pʰun̥ta,n,decoration,cvncv,
20,punda,pʰunta,n,pound,cvncv,
21,duld,tult,agg,complex,cvlc,
22,dult,tul̥t,agg,reticent,cvlc,
23,gelta,kel̥ta,v,bark,cvlcv,
24,gelda,kelta,v,castrate,cvlcv,
25,vanta,van̥ta,v,want,,
26,vanda,vanta,v,do st carefully,cvncv,
27,orka,or̥ka,n,energy,vrcv,
28,orga,orka,n,scream,vrcv,
29,dapur,taːpʏr̥,adj,sad,cvcvr,?
30,dapurt,taːpʏrt,adj,sad,cvcvrc,
